,Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population,Recidivism Type,Sex
5607,2011,2014,White - Hispanic,55 and Older,D Felony,Property,Burglary,Parole,7JD,No,,,,,Yes,No Recidivism,Male
5608,2011,2014,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Parole,8JD,Yes,82.0,,,,Yes,Tech,Male
5609,2011,2014,Black - Non-Hispanic,25-34,D Felony,Other,Other Criminal,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5610,2011,2014,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Prostitution/Pimping,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5611,2011,2014,White - Non-Hispanic,45-54,C Felony,Property,Burglary,Parole,1JD,No,,,,,Yes,No Recidivism,Male
5612,2011,2014,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Sex,Special Sentence,5JD,Yes,596.0,,,,Yes,Tech,Male
5613,2011,2014,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5614,2011,2014,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5615,2011,2014,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5616,2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Other Violent,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5617,2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Arson,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5618,2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Robbery,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5619,2011,2014,White - Non-Hispanic,25-34,D Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,670.0,Aggravated Misdemeanor,Violent,Assault,No,New,Male
5620,2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Theft,Parole,5JD,Yes,743.0,,,,Yes,Tech,Female
5621,2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5622,2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Sex,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5623,2011,2014,White - Non-Hispanic,35-44,D Felony,Drug,Trafficking,Parole,4JD,No,,,,,Yes,No Recidivism,Male
5624,2011,2014,White - Non-Hispanic,45-54,D Felony,Violent,Assault,Parole,3JD,Yes,203.0,,,,Yes,Tech,Male
5625,2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Burglary,Parole,2JD,No,,,,,Yes,No Recidivism,Female
5626,2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Special Sentence,4JD,No,,,,,Yes,No Recidivism,Male
5627,2011,2014,Black - Non-Hispanic,Under 25,B Felony,Violent,Other Violent,Parole,5JD,No,,,,,Yes,No Recidivism,Male
5628,2011,2014,White - Hispanic,25-34,D Felony,Public Order,Weapons,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5629,2011,2014,Black - Non-Hispanic,25-34,C Felony,Property,Burglary,Parole,6JD,No,,,,,Yes,No Recidivism,Male
5630,2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,994.0,Aggravated Misdemeanor,Drug,Drug Possession,Yes,New,Female
5631,2011,2014,White - Non-Hispanic,45-54,C Felony,Violent,Other Violent,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5632,2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5633,2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5634,2011,2014,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Property,Theft,Parole,,Yes,908.0,D Felony,Property,Theft,Yes,New,Male
5635,2011,2014,White - Hispanic,Under 25,D Felony,Violent,Assault,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5636,2011,2014,Black - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,1JD,No,,,,,Yes,No Recidivism,Male
5637,2011,2014,Black - Non-Hispanic,45-54,D Felony,Violent,Assault,Parole,1JD,Yes,599.0,D Felony,Violent,Assault,Yes,New,Male
5638,2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,2JD,No,,,,,Yes,No Recidivism,Female
5639,2011,2014,White - Non-Hispanic,45-54,Serious Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5640,2011,2014,White - Non-Hispanic,55 and Older,D Felony,Property,Forgery/Fraud,Parole,1JD,No,,,,,Yes,No Recidivism,Female
5641,2011,2014,Black - Non-Hispanic,45-54,C Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5642,2011,2014,Black - Non-Hispanic,45-54,C Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5643,2011,2014,Black - Non-Hispanic,Under 25,D Felony,Public Order,Weapons,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5644,2011,2014,Black - Non-Hispanic,Under 25,D Felony,Public Order,Weapons,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5645,2011,2014,Black - Non-Hispanic,Under 25,D Felony,Public Order,Weapons,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5646,2011,2014,Black - Non-Hispanic,35-44,C Felony,Property,Burglary,Parole,7JD,No,,,,,Yes,No Recidivism,Male
5647,2011,2014,Black - Non-Hispanic,35-44,C Felony,Property,Burglary,Parole,7JD,No,,,,,Yes,No Recidivism,Male
5648,2011,2014,White - Hispanic,Under 25,D Felony,Property,Vandalism,Parole,4JD,No,,,,,Yes,No Recidivism,Male
5649,2011,2014,White - Non-Hispanic,55 and Older,D Felony,Violent,Other Violent,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5650,2011,2014,Black - Non-Hispanic,25-34,C Felony,Violent,Assault,Parole,1JD,No,,,,,Yes,No Recidivism,Male
5651,2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5652,2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5653,2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5654,2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5655,2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5656,2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5657,2011,2014,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Property,Forgery/Fraud,Parole,,No,,,,,No,No Recidivism,Female
5658,2011,2014,White - Non-Hispanic,Under 25,C Felony,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5659,2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,701.0,C Felony,Property,Burglary,No,New,Male
5660,2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Vandalism,Discharged – End of Sentence,,Yes,1017.0,Aggravated Misdemeanor,Violent,Assault,No,New,Male
5661,2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,OWI,Parole,5JD,No,,,,,Yes,No Recidivism,Male
5662,2011,2014,White - Non-Hispanic,55 and Older,B Felony,Drug,Trafficking,Parole,7JD,Yes,225.0,,,,Yes,Tech,Female
5663,2011,2014,White - Non-Hispanic,35-44,C Felony,Violent,Sex,Parole,7JD,No,,,,,Yes,No Recidivism,Male
5664,2011,2014,White - Hispanic,Under 25,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,Yes,613.0,C Felony,Drug,Trafficking,No,New,Male
5665,2011,2014,White - Hispanic,25-34,C Felony,Violent,Robbery,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5666,2011,2014,White - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,3JD,No,,,,,Yes,No Recidivism,Male
5667,2011,2014,White - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,3JD,No,,,,,Yes,No Recidivism,Male
5668,2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,Yes,265.0,D Felony,Property,Theft,No,New,Male
5669,2011,2014,Black - Non-Hispanic,55 and Older,D Felony,Property,Burglary,Parole,6JD,No,,,,,Yes,No Recidivism,Male
5670,2011,2014,White - Non-Hispanic,45-54,D Felony,Drug,Drug Possession,Parole,Interstate Compact,No,,,,,Yes,No Recidivism,Male
5671,2011,2014,Black - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,5JD,No,,,,,Yes,No Recidivism,Female
5672,2011,2014,Black - Non-Hispanic,25-34,C Felony,Violent,Robbery,Parole,5JD,No,,,,,Yes,No Recidivism,Female
5673,2011,2014,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5674,2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5675,2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5676,2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5677,2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5678,2011,2014,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
5679,2011,2014,Black - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,No,,,,,Yes,No Recidivism,Male
5680,2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5681,2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5682,2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5683,2011,2014,White - Non-Hispanic,25-34,B Felony,Drug,Trafficking,Parole,1JD,Yes,153.0,,,,Yes,Tech,Male
5684,2011,2014,White - Non-Hispanic,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,823.0,Aggravated Misdemeanor,Property,Theft,No,New,Male
5685,2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Traffic,Parole,4JD,No,,,,,Yes,No Recidivism,Male
5686,2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Traffic,Parole,4JD,No,,,,,Yes,No Recidivism,Male
5687,2011,2014,White - Non-Hispanic,35-44,B Felony,Drug,Trafficking,Parole,Interstate Compact,No,,,,,No,No Recidivism,Female
5688,2011,2014,White - Non-Hispanic,35-44,C Felony,Property,Theft,Discharged – End of Sentence,,Yes,425.0,C Felony,Drug,Trafficking,No,New,Male
5689,2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5690,2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5691,2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5692,2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5693,2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5694,2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5695,2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5696,2011,2014,White - Non-Hispanic,Under 25,D Felony,Violent,Sex,Parole,7JD,No,,,,,Yes,No Recidivism,Female
5697,2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,OWI,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5698,2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,OWI,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5699,2011,2014,Black - Non-Hispanic,45-54,D Felony,Public Order,OWI,Parole,8JD,No,,,,,Yes,No Recidivism,Male
5700,2011,2014,White - Hispanic,25-34,C Felony,Violent,Assault,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5701,2011,2014,White - Hispanic,25-34,C Felony,Violent,Assault,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5702,2011,2014,American Indian or Alaska Native - Non-Hispanic,35-44,D Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5703,2011,2014,American Indian or Alaska Native - Non-Hispanic,35-44,D Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5704,2011,2014,Black - Non-Hispanic,Under 25,C Felony,Property,Burglary,Parole,7JD,No,,,,,Yes,No Recidivism,Male
5705,2011,2014,Black - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5706,2011,2014,Black - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5707,2011,2014,Black - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5708,2011,2014,White - Non-Hispanic,35-44,C Felony,Property,Burglary,Parole,5JD,No,,,,,Yes,No Recidivism,Female
5709,2011,2014,White - Hispanic,35-44,C Felony,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5710,2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,525.0,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,New,Male
5711,2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5712,2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5713,2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5714,2011,2014,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5715,2011,2014,Black - Non-Hispanic,35-44,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,334.0,C Felony,Violent,Robbery,No,New,Male
5716,2011,2014,Black - Non-Hispanic,45-54,C Felony,Property,Theft,Parole,5JD,Yes,805.0,Serious Misdemeanor,Public Order,Traffic,Yes,New,Male
5717,2011,2014,White - Non-Hispanic,25-34,Serious Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,,Yes,952.0,Aggravated Misdemeanor,Drug,Drug Possession,No,New,Male
5718,2011,2014,American Indian or Alaska Native - Non-Hispanic,35-44,D Felony,Violent,Other Violent,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5719,2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,173.0,D Felony,Property,Theft,No,New,Male
5720,2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Parole,2JD,No,,,,,Yes,No Recidivism,Male
5721,2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5722,2011,2014,Black - Non-Hispanic,25-34,B Felony,Other,Other Criminal,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5723,2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,1035.0,Aggravated Misdemeanor,Violent,Assault,No,New,Male
5724,2011,2014,White - Hispanic,35-44,C Felony,Violent,Assault,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5725,2011,2014,Black - Non-Hispanic,25-34,C Felony,Drug,Trafficking,Parole,6JD,No,,,,,Yes,No Recidivism,Male
5726,2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,Yes,435.0,D Felony,Property,Burglary,No,New,Male
5727,2011,2014,White - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,5JD,Yes,706.0,,,,Yes,Tech,Male
5728,2011,2014,White - Non-Hispanic,Under 25,C Felony,Drug,Trafficking,Parole,5JD,Yes,152.0,Serious Misdemeanor,Public Order,OWI,Yes,New,Male
5729,2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,601.0,,,,No,Tech,Male
5730,2011,2014,Black - Non-Hispanic,25-34,Aggravated Misdemeanor,Violent,Other Violent,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5731,2011,2014,Black - Non-Hispanic,45-54,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5732,2011,2014,White - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Parole,2JD,No,,,,,Yes,No Recidivism,Male
5733,2011,2014,Black - Non-Hispanic,35-44,B Felony,Violent,Other Violent,Parole,3JD,No,,,,,Yes,No Recidivism,Male
5734,2011,2014,White - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,2JD,Yes,260.0,,,,Yes,Tech,Male
5735,2011,2014,Black - Non-Hispanic,25-34,D Felony,Drug,Other Drug,Parole,3JD,Yes,454.0,D Felony,Drug,Trafficking,Yes,New,Male
5736,2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5737,2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5738,2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5739,2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5740,2011,2014,Black - Hispanic,Under 25,Aggravated Misdemeanor,Property,Forgery/Fraud,Parole,5JD,No,,,,,Yes,No Recidivism,Female
5741,2011,2014,White - Non-Hispanic,35-44,D Felony,Property,Burglary,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5742,2011,2014,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Burglary,Discharged – End of Sentence,,Yes,366.0,,,,No,Tech,Male
5743,2011,2014,Black - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,6JD,Yes,231.0,,,,Yes,Tech,Male
5744,2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Parole,1JD,No,,,,,No,No Recidivism,Male
5745,2011,2014,Black - Non-Hispanic,35-44,C Felony,Violent,Robbery,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5746,2011,2014,Black - Non-Hispanic,35-44,C Felony,Violent,Robbery,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5747,2011,2014,White - Non-Hispanic,25-34,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,2JD,Yes,231.0,D Felony,Drug,Drug Possession,Yes,New,Female
5748,2011,2014,Black - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5749,2011,2014,White - Hispanic,Under 25,D Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5750,2011,2014,White - Hispanic,Under 25,D Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5751,2011,2014,White - Hispanic,Under 25,D Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5752,2011,2014,White - Hispanic,Under 25,D Felony,Property,Burglary,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5753,2011,2014,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,725.0,C Felony,Drug,Trafficking,No,New,Male
5754,2011,2014,Black - Non-Hispanic,25-34,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,Yes,520.0,D Felony,Public Order,OWI,No,New,Male
5755,2011,2014,Black - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,1JD,No,,,,,Yes,No Recidivism,Male
5756,2011,2014,Black - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,Parole,1JD,No,,,,,Yes,No Recidivism,Male
5757,2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,OWI,Parole,8JD,No,,,,,Yes,No Recidivism,Male
5758,2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,OWI,Parole,8JD,No,,,,,Yes,No Recidivism,Male
5759,2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,OWI,Parole,8JD,No,,,,,Yes,No Recidivism,Male
5760,2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,OWI,Parole,8JD,No,,,,,Yes,No Recidivism,Male
5761,2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5762,2011,2014,Black - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5763,2011,2014,White - Non-Hispanic,35-44,D Felony,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Male
5764,2011,2014,White - Non-Hispanic,35-44,D Felony,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Male
5765,2011,2014,White - Non-Hispanic,35-44,D Felony,Drug,Trafficking,Parole,8JD,No,,,,,Yes,No Recidivism,Male
5766,2011,2014,White - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole,2JD,No,,,,,Yes,No Recidivism,Male
5767,2011,2014,White - Non-Hispanic,35-44,D Felony,Public Order,OWI,Parole,2JD,No,,,,,Yes,No Recidivism,Male
5768,2011,2014,White - Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5769,2011,2014,White - Hispanic,Under 25,D Felony,Drug,Trafficking,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5770,2011,2014,White - Hispanic,Under 25,D Felony,Drug,Other Drug,Parole,Interstate Compact,No,,,,,No,No Recidivism,Male
5771,2011,2014,White - Hispanic,25-34,C Felony,Violent,Assault,Discharged – End of Sentence,,Yes,629.0,D Felony,Property,Burglary,No,New,Male
5772,2011,2014,White - Non-Hispanic,Under 25,D Felony,Property,Forgery/Fraud,Parole,7JD,No,,,,,Yes,No Recidivism,Male
5773,2011,2014,White - Non-Hispanic,45-54,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,220.0,,,,No,Tech,Male
5774,2011,2014,White - Non-Hispanic,25-34,D Felony,Property,Theft,Parole,8JD,Yes,174.0,,,,Yes,Tech,Male
5775,2011,2014,White - Non-Hispanic,45-54,C Felony,Violent,Assault,Parole,5JD,No,,,,,Yes,No Recidivism,Male
5776,2011,2014,Black - Non-Hispanic,55 and Older,C Felony,Property,Theft,Parole,5JD,No,,,,,Yes,No Recidivism,Male
5777,2011,2014,White - Non-Hispanic,55 and Older,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5778,2011,2014,Black - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5779,2011,2014,Black - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5780,2011,2014,Black - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5781,2011,2014,Black - Non-Hispanic,45-54,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5782,2011,2014,White - Non-Hispanic,25-34,C Felony,Violent,Sex,Special Sentence,3JD,No,,,,,Yes,No Recidivism,Male
5783,2011,2014,White - Non-Hispanic,35-44,C Felony,Property,Theft,Parole,2JD,Yes,74.0,C Felony,Property,Burglary,Yes,New,Male
5784,2011,2014,White - Non-Hispanic,25-34,Aggravated Misdemeanor,Other,Other Criminal,Special Sentence,8JD,No,,,,,Yes,No Recidivism,Male
5785,2011,2014,White - Non-Hispanic,35-44,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,5JD,Yes,219.0,D Felony,Drug,Drug Possession,Yes,New,Male
5786,2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Flight/Escape,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5787,2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Flight/Escape,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5788,2011,2014,White - Non-Hispanic,25-34,D Felony,Public Order,Flight/Escape,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5789,2011,2014,White - Hispanic,25-34,D Felony,Property,Theft,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Female
5790,2011,2014,White - Non-Hispanic,Under 25,Serious Misdemeanor,Violent,Assault,Parole,5JD,Yes,77.0,,,,Yes,Tech,Male
5791,2011,2014,N/A -,25-34,D Felony,Other,Other Criminal,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5792,2011,2014,White - Hispanic,25-34,C Felony,Drug,Trafficking,Parole,3JD,No,,,,,Yes,No Recidivism,Male
5793,2011,2014,White - Hispanic,25-34,C Felony,Drug,Trafficking,Parole,3JD,No,,,,,Yes,No Recidivism,Male
5794,2011,2014,White - Non-Hispanic,55 and Older,D Felony,Violent,Sex,Discharged – End of Sentence,,No,,,,,No,No Recidivism,Male
5795,2011,2014,White - Non-Hispanic,35-44,D Felony,Public Order,Other Public Order,Parole,5JD,Yes,253.0,,,,Yes,Tech,Male
